what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623413083
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411623415621
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623415732
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623416909
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623423712
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623424896
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623429490
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623430884
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623436736
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623439836
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623519334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623524894
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623539694
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411623546385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623557035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623579629
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411623582331
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623585970
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623586147
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623589491
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623589633
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623591333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623608450
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623608613
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411623611731
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411623620337
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411623625818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623641003
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623642991
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623694374
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623707334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623713680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623713805
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623730755
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623747941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623775378
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623777895
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411623789903
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623790004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623792487
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623799326
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623799968
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411623812589
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623812691
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411623816867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411623817806
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623818826
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411623836715
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623836863
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411623839287
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624197960
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624203042
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624211583
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624250047
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624262790
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624277598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624277894
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624284430
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624286495
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624339760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624345175
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624366035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624380277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624381334
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624387355
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624387460
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624389196
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624413210
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624414530
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624419501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624419592
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624422107
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624458160
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624461039
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624466444
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624466543
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624472516
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624482166
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624483581
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624492679
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624492751
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624494984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624504186
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624508463
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624529702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624529809
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624542195
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411624549447
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411624552380
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624558267
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624560340
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624561789
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624563952
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624566086
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624567549
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624571123
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624575367
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1411624583984
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411624584062
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624588013
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411624598030
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624615699
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624638054
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411624641148
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411624641575
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411624642696
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411624643058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624650456
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411624658008
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624659122
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624660358
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624662803
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624663813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411624665957
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411624667106
