what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411760551505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411760579387
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411760584764
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411760588135
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411760588471
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411760588830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411760589413
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.delete.line",1411760603331
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411760604411
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411760605215
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760606759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760619282
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411760645829
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760646265
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760923731
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760939488
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411760951728
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411760966389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411761027590
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411761533911
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411761579647
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411761616543
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411761621867
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411761669581
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411761686713
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411761716735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762205773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762237986
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411762244960
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411762246870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1411762263075
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411762267496
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411762269295
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1411762270582
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762283027
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762350984
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411762355706
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762362345
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762583864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762596881
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411762600285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762610183
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411762618725
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762620079
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762621659
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411762622525
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.redo",1411762624336
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411762627725
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763157784
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411763160505
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411763187197
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1411763187496
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763191944
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763197387
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763199799
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763208143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763209017
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763236191
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411763258923
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763265132
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1411763265194
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763267661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763276115
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1411763276164
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763290385
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1411763300385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763303401
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763308507
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411763309454
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411763316648
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411763317273
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1411763330429
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763332024
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.findReplace",1411763332080
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1411763350057
